airbnb_listing_id,price,ano,mes,dia,latitude,longitude,Address
39837003.0,140.0,2022.0,8.0,5.0,-27.08941,-48.61471,Meia Praia
30343788.0,980.0,2022.0,10.0,10.0,-27.13965,-48.59308,Centro
6.841757374913878e+17,100.0,2022.0,11.0,23.0,-27.0957,-48.61884,Meia Praia
22374889.0,350.0,2022.0,8.0,1.0,-27.13146,-48.60699,Morretes
31052131.0,1000.0,2022.0,11.0,20.0,-27.12912,-48.607,Meia Praia
11508986.0,299.0,2022.0,11.0,12.0,-27.10042,-48.61862,Meia Praia
29588457.0,650.0,2022.0,11.0,7.0,-27.1259,-48.60195,Centro
52517585.0,500.0,2022.0,10.0,25.0,-27.12906,-48.60264,Meia Praia
52387636.0,350.0,2022.0,11.0,8.0,-27.12327,-48.61154,Meia Praia
30922946.0,230.0,2022.0,10.0,28.0,-27.14148,-48.59633,Morretes
16992951.0,1500.0,2022.0,12.0,4.0,-27.10351,-48.6154,Meia Praia
53164553.0,270.0,2022.0,11.0,7.0,-27.13572,-48.59888,Centro
46543982.0,450.0,2022.0,10.0,21.0,-27.1173,-48.61158,Meia Praia
12490354.0,299.0,2022.0,6.0,2.0,-27.10159,-48.61487,Morretes
46394467.0,220.0,2022.0,12.0,5.0,-27.13185,-48.60109,Centro
18287935.0,9999.0,2022.0,10.0,21.0,-27.09159,-48.6131,Meia Praia
49824103.0,273.0,2022.0,10.0,30.0,-27.12982,-48.60193,Centro
52488813.0,600.0,2022.0,11.0,18.0,-27.13755,-48.59512,Meia Praia
32552871.0,350.0,2022.0,11.0,14.0,-27.13864,-48.5962,Meia Praia
40920962.0,550.0,2022.0,10.0,22.0,-27.13055,-48.60281,Meia Praia
5.993685280943528e+17,249.0,2022.0,11.0,17.0,-27.136614,-48.596977,Meia Praia
47213093.0,230.0,2022.0,12.0,2.0,-27.1391,-48.59397,Meia Praia
10703351.0,490.0,2022.0,10.0,12.0,-27.15472,-48.56658,Meia Praia
3325949.0,550.0,2022.0,9.0,8.0,-27.10022,-48.61595,Meia Praia
32424370.0,950.0,2022.0,11.0,3.0,-27.12806,-48.60392,Centro
52585644.0,486.0,2022.0,11.0,16.0,-27.13666,-48.59801,Meia Praia
6.666889765388233e+17,520.0,2022.0,11.0,10.0,-27.13818,-48.59317,Meia Praia
41888100.0,180.0,2022.0,10.0,24.0,-27.12249,-48.60644,Meia Praia
27891417.0,172.0,2022.0,11.0,2.0,-27.12368,-48.60495,Meia Praia
52650644.0,360.0,2022.0,11.0,4.0,-27.13828,-48.59531,Meia Praia
30343788.0,980.0,2022.0,11.0,25.0,-27.13965,-48.59308,Meia Praia
44403682.0,900.0,2022.0,10.0,30.0,-27.09622,-48.61449,Meia Praia
41861626.0,1000.0,2022.0,12.0,1.0,-27.15449,-48.56641,Centro
40814808.0,400.0,2022.0,12.0,4.0,-27.10674,-48.61749,Meia Praia
29844589.0,999.0,2022.0,11.0,2.0,-27.10237,-48.61521,Centro
31308297.0,1000.0,2022.0,11.0,18.0,-27.08965,-48.62167,Centro
