ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,ano,mes,dia,Address
30799021.0,3,4,6.0,-27.14354,-48.58802,2022.0,10.0,8.0,Meia Praia
46704215.0,2,2,2.0,-27.1306,-48.60042,2022.0,10.0,8.0,Morretes
11508986.0,1,2,3.0,-27.10042,-48.61862,2022.0,10.0,8.0,Centro
15549803.0,3,4,6.0,-27.11511,-48.60905,2022.0,10.0,8.0,Meia Praia
22162868.0,1,3,3.0,-27.099,-48.615,2022.0,10.0,8.0,Meia Praia
3977675.0,1,3,3.0,-27.143,-48.601,2022.0,10.0,8.0,Meia Praia
13145799.0,2,2,2.0,-27.12972,-48.60748,2022.0,10.0,8.0,Centro
33336758.0,2,2,2.0,-27.13,-48.604,2022.0,10.0,8.0,Meia Praia
22337474.0,1,1,1.0,-27.10203,-48.61412,2022.0,10.0,8.0,Meia Praia
16586622.0,2,3,3.0,-27.138,-48.592,2022.0,10.0,8.0,Meia Praia
21780661.0,1,2,2.0,-27.09041,-48.61815,2022.0,10.0,8.0,Centro
6.593872389464995e+17,2,3,8.0,-27.12454,-48.6022,2022.0,10.0,8.0,Morretes
38699498.0,1,1,1.0,-27.09114,-48.61475,2022.0,10.0,8.0,Centro
42195352.0,1,1,1.0,-27.12138,-48.61035,2022.0,10.0,8.0,Meia Praia
41317188.0,4,3,4.0,-27.12767,-48.60484,2022.0,10.0,8.0,Meia Praia
53030717.0,3,3,3.0,-27.13205,-48.6043,2022.0,10.0,8.0,Meia Praia
53277044.0,2,2,2.0,-27.14921,-48.57665,2022.0,10.0,8.0,Meia Praia
51539313.0,3,3,3.0,-27.14063,-48.59372,2022.0,10.0,8.0,Meia Praia
40395028.0,4,4,6.0,-27.13722,-48.59201,2022.0,10.0,8.0,Meia Praia
30785010.0,2,2,2.0,-27.135,-48.596,2022.0,10.0,8.0,Meia Praia
49050392.0,2,3,3.0,-27.13206,-48.59931,2022.0,10.0,8.0,Meia Praia
47274874.0,3,2,2.0,-27.12479,-48.60567,2022.0,10.0,8.0,Morretes
